"customer_key","customer_number","customer_name","age","age_group","customer_segment","last_order_date","recency","total_orders","total_sales","total_quantity","total_products","lifespan","avg_order_value","avg_monthly_spend"
29,AW00011028,Jill Jimenez,74,"50 and above",VIP,"2013-10-07",143,3,6474,5,5,33,2158.000000000000,196.181818181818
30,AW00011029,Jimmy Moreno,73,"50 and above",VIP,"2013-11-11",142,3,6565,7,7,34,2188.333333333333,193.088235294117
31,AW00011030,Bethany Yuan,67,"50 and above",VIP,"2013-11-09",142,3,6471,4,4,33,2157.000000000000,196.090909090909
32,AW00011031,Theresa Ramos,72,"50 and above",VIP,"2013-11-13",142,3,6478,6,6,33,2159.333333333333,196.303030303030
33,AW00011032,Denise Stone,73,"50 and above",VIP,"2013-11-08",142,3,6525,10,10,33,2175.000000000000,197.727272727272
34,AW00011033,Jaime Nath,67,"50 and above",VIP,"2013-11-05",142,3,6495,7,7,33,2165.000000000000,196.818181818181
35,AW00011034,Ebony Gonzalez,73,"50 and above",VIP,"2013-11-10",142,3,6491,4,4,33,2163.666666666666,196.696969696969
36,AW00011035,Wendy Dominguez,72,"50 and above",VIP,"2013-11-15",142,3,6451,5,5,33,2150.333333333333,195.484848484848
37,AW00011036,Jennifer Russell,41,"40-49",New,"2013-01-22",152,1,2355,2,2,0,2355.000000000000,2355.000000000000
38,AW00011037,Chloe Garcia,42,"40-49",New,"2013-01-20",152,1,2374,7,7,0,2374.000000000000,2374.000000000000
39,AW00011038,Diana Hernandez,72,"50 and above",VIP,"2013-11-12",142,3,6437,3,3,33,2145.666666666666,195.060606060606
40,AW00011039,Marc Martin,71,"50 and above",VIP,"2013-11-11",142,3,6636,9,8,33,2212.000000000000,201.090909090909
41,AW00011040,Jesse Murphy,42,"40-49",New,"2013-04-03",149,1,2351,3,3,0,2351.000000000000,2351.000000000000
42,AW00011041,Amanda Carter,42,"40-49",New,"2013-01-14",152,1,2381,3,3,0,2381.000000000000,2381.000000000000
43,AW00011042,Megan Sanchez,43,"40-49",New,"2013-10-17",143,2,3112,3,3,9,1556.000000000000,345.777777777777
44,AW00011043,Nathan Simmons,44,"40-49",New,"2013-08-18",145,2,48,3,3,3,24.000000000000,16.000000000000
45,AW00011044,Adam Flores,71,"50 and above",VIP,"2013-11-08",142,3,6515,7,7,33,2171.666666666666,197.424242424242
46,AW00011045,Leonard Nara,70,"50 and above",New,"2013-10-29",143,2,115,4,4,6,57.500000000000,19.166666666666
47,AW00011046,Christine Yuan,70,"50 and above",VIP,"2013-11-12",142,3,6616,6,6,33,2205.333333333333,200.484848484848
48,AW00011047,Jaclyn Lu,70,"50 and above",VIP,"2013-11-19",142,3,6582,4,4,33,2194.000000000000,199.454545454545
49,AW00011048,Jeremy Powell,69,"50 and above",VIP,"2013-12-25",141,3,6498,8,8,34,2166.000000000000,191.117647058823
50,AW00011049,Carol Rai,39,"30-39",New,"2013-10-29",143,2,81,5,5,7,40.500000000000,11.571428571428
51,AW00011050,Alan Zheng,68,"50 and above",VIP,"2013-11-19",142,3,5007,6,6,33,1669.000000000000,151.727272727272
52,AW00011051,Daniel Johnson,68,"50 and above",New,"2014-01-01",140,2,124,5,5,1,62.000000000000,124.000000000000
53,AW00011052,Heidi Lopez,68,"50 and above",VIP,"2013-05-27",148,3,8131,7,7,27,2710.333333333333,301.148148148148
54,AW00011053,Ana Price,39,"30-39",New,"2013-01-17",152,1,2330,2,2,0,2330.000000000000,2330.000000000000
55,AW00011054,Deanna Munoz,68,"50 and above",VIP,"2013-05-30",148,3,8223,6,6,27,2741.000000000000,304.555555555555
56,AW00011055,Gilbert Raje,68,"50 and above",VIP,"2013-06-07",147,3,8168,8,8,29,2722.666666666666,281.655172413793
57,AW00011056,Michele Nath,67,"50 and above",VIP,"2013-05-31",148,3,8207,8,8,27,2735.666666666666,303.962962962962
58,AW00011057,Carl Andersen,55,"50 and above",VIP,"2013-05-21",148,3,8088,4,4,27,2696.000000000000,299.555555555555
59,AW00011058,Marc Diaz,60,"50 and above",VIP,"2013-06-04",147,3,8248,6,6,27,2749.333333333333,305.481481481481
60,AW00011059,Ashlee Andersen,66,"50 and above",New,"2013-03-16",150,3,117,7,6,1,39.000000000000,117.000000000000
61,AW00011060,Jon Zhou,66,"50 and above",VIP,"2013-06-25",147,3,8153,6,6,27,2717.666666666666,301.962962962962
62,AW00011061,Todd Gao,49,"40-49",VIP,"2013-06-14",147,3,8129,6,6,27,2709.666666666666,301.074074074074
63,AW00011062,Noah Powell,44,"40-49",New,"2013-01-07",152,1,2352,3,3,0,2352.000000000000,2352.000000000000
64,AW00011063,Angela Murphy,45,"40-49",New,"2013-01-12",152,1,2373,5,5,0,2373.000000000000,2373.000000000000
65,AW00011064,Chase Reed,44,"40-49",New,"2013-01-25",152,1,2305,2,2,0,2305.000000000000,2305.000000000000
66,AW00011065,Jessica Henderson,46,"40-49",New,"2014-01-10",140,2,202,5,4,11,101.000000000000,18.363636363636
67,AW00011066,Grace Butler,46,"40-49",New,"2013-09-19",144,2,81,5,5,4,40.500000000000,20.250000000000
68,AW00011067,Caleb Carter,43,"40-49",New,"2014-01-12",140,2,105,6,6,5,52.500000000000,21.000000000000
69,AW00011068,Tiffany Liang,59,"50 and above",New,"2013-10-08",143,3,113,9,8,6,37.666666666666,18.833333333333
70,AW00011069,Carolyn Navarro,59,"50 and above",VIP,"2013-06-04",147,3,8104,3,3,26,2701.333333333333,311.692307692307
71,AW00011070,Willie Raji,65,"50 and above",VIP,"2013-06-26",147,3,8165,10,9,26,2721.666666666666,314.038461538461
72,AW00011071,Linda Serrano,65,"50 and above",New,"2013-12-01",141,3,110,7,6,9,36.666666666666,12.222222222222
73,AW00011072,Casey Luo,65,"50 and above",VIP,"2013-06-15",147,3,8194,7,7,27,2731.333333333333,303.481481481481
74,AW00011073,Amy Ye,63,"50 and above",New,"2013-08-21",145,3,192,10,9,5,64.000000000000,38.400000000000
75,AW00011074,Levi Arun,63,"50 and above",New,"2013-05-27",148,3,94,7,7,2,31.333333333333,47.000000000000
76,AW00011075,Felicia Jimenez,62,"50 and above",VIP,"2013-06-24",147,3,8068,5,5,26,2689.333333333333,310.307692307692
77,AW00011076,Blake Anderson,62,"50 and above",VIP,"2013-06-21",147,3,8159,4,4,26,2719.666666666666,313.807692307692
78,AW00011077,Leah Ye,62,"50 and above",VIP,"2013-06-12",147,3,8169,5,5,26,2723.000000000000,314.192307692307
79,AW00011078,Gina Martin,40,"40-49",New,"2014-01-28",140,17,912,31,23,11,53.647058823529,82.909090909090
80,AW00011079,Donald Gonzalez,55,"50 and above",New,"2014-01-01",140,3,58,5,5,10,19.333333333333,5.800000000000
81,AW00011080,Damien Chander,60,"50 and above",VIP,"2013-06-23",147,3,8204,7,7,26,2734.666666666666,315.538461538461
82,AW00011081,Savannah Baker,53,"50 and above",New,"2013-04-13",149,2,104,5,5,2,52.000000000000,52.000000000000
83,AW00011082,Angela Butler,53,"50 and above",New,"2013-11-06",142,2,3110,6,6,10,1555.000000000000,311.000000000000
84,AW00011083,Alyssa Cox,48,"40-49",New,"2013-11-08",142,2,3137,5,5,10,1568.500000000000,313.700000000000
85,AW00011084,Lucas Phillips,62,"50 and above",New,"2013-11-21",142,2,3078,5,5,10,1539.000000000000,307.800000000000
86,AW00011085,Emily Johnson,62,"50 and above",New,"2014-01-08",140,2,129,5,5,1,64.500000000000,129.000000000000
87,AW00011086,Ryan Brown,62,"50 and above",New,"2013-12-21",141,2,153,6,6,5,76.500000000000,30.600000000000
88,AW00011087,Tamara Liang,62,"50 and above",New,"2013-08-09",145,2,200,4,4,6,100.000000000000,33.333333333333
89,AW00011088,Hunter Davis,62,"50 and above",New,"2013-11-12",142,2,3176,7,7,10,1588.000000000000,317.600000000000
90,AW00011089,Abigail Price,63,"50 and above",New,"2013-11-18",142,2,3188,7,7,11,1594.000000000000,289.818181818181
91,AW00011090,Trevor Bryant,57,"50 and above",VIP,"2013-11-21",142,3,6703,6,6,27,2234.333333333333,248.259259259259
92,AW00011091,Dalton Perez,63,"50 and above",Regular,"2014-01-08",140,28,1186,59,25,12,42.357142857142,98.833333333333
93,AW00011092,Cheryl Diaz,53,"50 and above",VIP,"2013-06-21",147,3,8110,5,5,26,2703.333333333333,311.923076923076
94,AW00011093,Aimee He,47,"40-49",VIP,"2013-06-08",147,3,8180,7,7,26,2726.666666666666,314.615384615384
95,AW00011094,Cedric Ma,58,"50 and above",New,"2014-01-11",140,3,236,8,8,9,78.666666666666,26.222222222222
96,AW00011095,Chad Kumar,57,"50 and above",VIP,"2013-06-25",147,3,8158,7,7,26,2719.333333333333,313.769230769230
97,AW00011096,Andr+®s Anand,57,"50 and above",VIP,"2013-07-30",146,3,8063,4,4,27,2687.666666666666,298.629629629629
98,AW00011097,Edwin Nara,53,"50 and above",VIP,"2013-07-24",146,3,8099,5,5,27,2699.666666666666,299.962962962962
99,AW00011098,Mallory Rubio,59,"50 and above",New,"2013-10-16",143,3,89,4,4,8,29.666666666666,11.125000000000
100,AW00011099,Adam Ross,59,"50 and above",VIP,"2013-07-01",146,3,8216,9,8,27,2738.666666666666,304.296296296296
101,AW00011100,Latasha Navarro,59,"50 and above",VIP,"2013-08-07",145,3,8172,7,7,28,2724.000000000000,291.857142857142
102,AW00011101,Abby Sai,55,"50 and above",VIP,"2013-06-29",147,3,8262,7,7,26,2754.000000000000,317.769230769230
103,AW00011102,Julia Nelson,55,"50 and above",New,"2013-12-09",141,3,103,5,5,5,34.333333333333,20.600000000000
104,AW00011103,Cassie Chande,44,"40-49",VIP,"2013-06-06",147,3,8182,8,8,26,2727.333333333333,314.692307692307
105,AW00011104,Edgar Sara,50,"50 and above",VIP,"2013-06-15",147,3,8173,6,6,25,2724.333333333333,326.920000000000
106,AW00011105,Candace Fernandez,55,"50 and above",VIP,"2013-06-05",147,3,8096,5,5,25,2698.666666666666,323.840000000000
107,AW00011106,Jessie Liu,55,"50 and above",VIP,"2013-06-15",147,3,8079,3,3,25,2693.000000000000,323.160000000000
108,AW00011107,Bianca Lin,49,"40-49",VIP,"2013-06-21",147,3,8171,6,6,25,2723.666666666666,326.840000000000
109,AW00011108,Kari Alvarez,56,"50 and above",VIP,"2013-06-23",147,3,8124,5,5,25,2708.000000000000,324.960000000000
110,AW00011109,Ruben Kapoor,45,"40-49",VIP,"2013-06-24",147,3,8245,8,8,25,2748.333333333333,329.800000000000
111,AW00011110,Curtis Yang,58,"50 and above",VIP,"2013-08-20",145,3,8093,5,5,27,2697.666666666666,299.740740740740
112,AW00011111,Meredith Gutierrez,58,"50 and above",VIP,"2013-08-22",145,3,8137,8,8,27,2712.333333333333,301.370370370370
113,AW00011112,Crystal Wang,57,"50 and above",VIP,"2013-09-02",144,3,8295,6,6,28,2765.000000000000,296.250000000000
114,AW00011113,Micheal Blanco,52,"50 and above",New,"2013-04-21",149,3,110,7,7,2,36.666666666666,55.000000000000
115,AW00011114,Leslie Moreno,58,"50 and above",New,"2013-12-26",141,3,123,7,6,9,41.000000000000,13.666666666666
116,AW00011115,Alvin Cai,58,"50 and above",New,"2014-01-02",140,3,114,6,6,11,38.000000000000,10.363636363636
117,AW00011116,Clinton Carlson,46,"40-49",New,"2013-10-16",143,3,149,7,7,7,49.666666666666,21.285714285714
118,AW00011117,April Deng,59,"50 and above",VIP,"2013-06-25",147,3,8185,8,8,25,2728.333333333333,327.400000000000
119,AW00011118,Alvin Zeng,63,"50 and above",New,"2014-01-26",140,3,124,8,6,6,41.333333333333,20.666666666666
120,AW00011119,Evan James,85,"50 and above",New,"2013-11-23",142,2,85,4,4,9,42.500000000000,9.444444444444
121,AW00011120,Beth Jim+®nez,83,"50 and above",VIP,"2013-09-19",144,3,8242,10,10,28,2747.333333333333,294.357142857142
122,AW00011121,Orlando Suarez,59,"50 and above",New,"2013-11-04",142,3,58,6,5,5,19.333333333333,11.600000000000
123,AW00011122,Byron Vazquez,60,"50 and above",New,"2013-08-22",145,3,43,3,3,6,14.333333333333,7.166666666666
124,AW00011123,Philip Alvarez,60,"50 and above",New,"2014-01-25",140,3,150,8,7,9,50.000000000000,16.666666666666
125,AW00011124,Ross Jordan,57,"50 and above",VIP,"2013-06-18",147,3,8129,6,6,25,2709.666666666666,325.160000000000
126,AW00011125,Dana Navarro,64,"50 and above",New,"2013-07-03",146,3,79,7,7,6,26.333333333333,13.166666666666
127,AW00011126,Shaun Carson,71,"50 and above",Regular,"2013-11-03",142,3,4971,8,7,30,1657.000000000000,165.700000000000
128,AW00011127,Jan Edwards,44,"40-49",New,"2013-10-01",143,2,44,3,3,6,22.000000000000,7.333333333333
129,AW00011128,Samantha Long,44,"40-49",New,"2013-08-12",145,2,144,7,7,2,72.000000000000,72.000000000000
130,AW00011129,Julia Wright,44,"40-49",VIP,"2013-01-09",152,2,5873,2,2,17,2936.500000000000,345.470588235294
131,AW00011130,Caroline Russell,40,"40-49",New,"2013-12-09",141,1,37,2,2,0,37.000000000000,37.000000000000
132,AW00011131,Amanda Rivera,40,"40-49",New,"2014-01-23",140,5,166,9,9,3,33.200000000000,55.333333333333
133,AW00011132,Melissa Richardson,39,"30-39",New,"2013-04-09",149,1,2372,6,6,0,2372.000000000000,2372.000000000000
134,AW00011133,Angela Griffin,39,"30-39",New,"2013-12-30",141,1,72,4,4,0,72.000000000000,72.000000000000
135,AW00011134,Larry Townsend,68,"50 and above",Regular,"2013-11-03",142,3,4911,3,3,30,1637.000000000000,163.700000000000
136,AW00011135,Marcus Harris,40,"40-49",New,"2013-04-18",149,1,2335,3,3,0,2335.000000000000,2335.000000000000
137,AW00011136,Brianna Morgan,41,"40-49",New,"2013-01-03",152,1,2381,3,3,0,2381.000000000000,2381.000000000000
138,AW00011137,Jasmine Taylor,41,"40-49",New,"2014-01-20",140,2,202,5,4,6,101.000000000000,33.666666666666
139,AW00011138,Lauren Davis,41,"40-49",New,"2013-12-31",141,2,79,4,4,3,39.500000000000,26.333333333333
140,AW00011139,Tanya Moreno,76,"50 and above",New,"2013-10-17",143,2,84,3,3,1,42.000000000000,84.000000000000
141,AW00011140,Javier Alvarez,43,"40-49",New,"2013-03-19",150,1,40,2,2,0,40.000000000000,40.000000000000
142,AW00011141,Nicole Ramirez,43,"40-49",New,"2013-09-28",144,2,114,5,5,4,57.000000000000,28.500000000000
143,AW00011142,Eduardo Patterson,42,"40-49",New,"2014-01-13",140,17,979,36,23,11,57.588235294117,89.000000000000
144,AW00011143,Jonathan Henderson,43,"40-49",New,"2013-12-19",141,2,48,5,4,6,24.000000000000,8.000000000000
145,AW00011144,Edward Hernandez,40,"40-49",New,"2013-01-25",152,1,2400,3,3,0,2400.000000000000,2400.000000000000
146,AW00011145,Jasmine Coleman,40,"40-49",New,"2013-01-25",152,1,2310,3,3,0,2310.000000000000,2310.000000000000
147,AW00011146,Karla Goel,80,"50 and above",New,"2013-09-15",144,3,113,7,6,7,37.666666666666,16.142857142857
148,AW00011147,Ernest Wu,81,"50 and above",VIP,"2013-10-16",143,3,8195,7,7,29,2731.666666666666,282.586206896551
149,AW00011148,Ross Vazquez,78,"50 and above",New,"2013-12-03",141,3,126,6,5,9,42.000000000000,14.000000000000
150,AW00011149,Theodore Gill,79,"50 and above",New,"2013-11-29",142,3,41,4,4,5,13.666666666666,8.200000000000
151,AW00011150,Russell Shen,79,"50 and above",New,"2013-07-15",146,3,192,8,7,4,64.000000000000,48.000000000000
152,AW00011151,Melinda Gill,78,"50 and above",VIP,"2013-10-20",143,3,8087,6,6,29,2695.666666666666,278.862068965517
153,AW00011152,James Williams,44,"40-49",New,"2013-01-09",152,1,2295,1,1,0,2295.000000000000,2295.000000000000
154,AW00011153,Angela James,44,"40-49",New,"2013-03-29",150,2,110,5,5,0,55.000000000000,110.000000000000
155,AW00011154,Megan Walker,43,"40-49",New,"2013-01-10",152,1,2320,1,1,0,2320.000000000000,2320.000000000000
156,AW00011155,Hunter Robinson,44,"40-49",New,"2013-01-06",152,1,2320,1,1,0,2320.000000000000,2320.000000000000
157,AW00011156,Maria Roberts,44,"40-49",New,"2013-01-08",152,1,2390,4,4,0,2390.000000000000,2390.000000000000
158,AW00011157,Hannah Long,45,"40-49",New,"2013-09-11",144,2,41,3,3,2,20.500000000000,20.500000000000
159,AW00011158,Jason Wright,44,"40-49",New,"2013-01-19",152,1,2396,3,3,0,2396.000000000000,2396.000000000000
160,AW00011159,Brianna Hughes,44,"40-49",New,"2013-11-07",142,2,48,5,4,2,24.000000000000,24.000000000000
161,AW00011160,Maurice Tang,46,"40-49",New,"2013-02-21",151,1,2322,2,2,0,2322.000000000000,2322.000000000000
162,AW00011161,Emily Wood,46,"40-49",New,"2013-11-11",142,2,94,6,6,5,47.000000000000,18.800000000000
163,AW00011162,Chase Cox,46,"40-49",New,"2013-02-18",151,1,2330,2,2,0,2330.000000000000,2330.000000000000
164,AW00011163,Gabriel Wang,45,"40-49",New,"2013-08-05",145,2,46,4,4,3,23.000000000000,15.333333333333
165,AW00011164,Devin Brooks,46,"40-49",New,"2013-08-05",145,2,145,6,6,4,72.500000000000,36.250000000000
166,AW00011165,Jocelyn Alexander,46,"40-49",New,"2013-06-05",147,2,103,3,3,1,51.500000000000,103.000000000000
167,AW00011166,Ashley Martinez,48,"40-49",New,"2013-12-06",141,2,88,5,5,2,44.000000000000,44.000000000000
168,AW00011167,Jasmine Barnes,47,"40-49",New,"2013-11-28",142,2,3126,4,4,10,1563.000000000000,312.600000000000
169,AW00011168,David Rodriguez,52,"50 and above",New,"2013-11-16",142,2,3136,7,7,10,1568.000000000000,313.600000000000
170,AW00011169,Bryce Richardson,52,"50 and above",New,"2013-09-24",144,2,81,5,5,4,40.500000000000,20.250000000000
171,AW00011170,Carol Howard,52,"50 and above",New,"2013-12-29",141,2,157,7,7,4,78.500000000000,39.250000000000
172,AW00011171,Jonathan Hill,47,"40-49",VIP,"2013-11-07",142,3,6716,8,8,27,2238.666666666666,248.740740740740
173,AW00011172,Gabrielle Adams,52,"50 and above",New,"2014-01-11",140,2,129,7,6,8,64.500000000000,16.125000000000
174,AW00011173,Sarah Thomas,52,"50 and above",New,"2013-12-24",141,2,103,3,3,9,51.500000000000,11.444444444444
175,AW00011174,Nicholas Robinson,52,"50 and above",New,"2013-07-25",146,2,48,5,4,0,24.000000000000,48.000000000000
176,AW00011175,Luis Wang,57,"50 and above",VIP,"2013-11-03",142,3,6710,8,8,27,2236.666666666666,248.518518518518
177,AW00011176,Mason Roberts,46,"40-49",New,"2014-01-27",140,28,1317,60,27,11,47.035714285714,119.727272727272
178,AW00011177,Jose Flores,77,"50 and above",New,"2013-10-14",143,2,135,6,6,7,67.500000000000,19.285714285714
179,AW00011178,Nathan Johnson,71,"50 and above",New,"2013-05-26",148,2,145,6,6,3,72.500000000000,48.333333333333
180,AW00011179,Molly Rodriguez,66,"50 and above",New,"2014-01-09",140,2,125,6,6,10,62.500000000000,12.500000000000
181,AW00011180,April Anand,77,"50 and above",New,"2013-09-25",144,2,138,6,6,6,69.000000000000,23.000000000000
182,AW00011181,Devin Martin,65,"50 and above",New,"2013-07-11",146,2,41,3,3,2,20.500000000000,20.500000000000
183,AW00011182,Stephanie Torres,75,"50 and above",New,"2014-01-05",140,2,81,5,5,5,40.500000000000,16.200000000000
184,AW00011183,Jasmine Lee,75,"50 and above",New,"2013-06-13",147,2,46,4,4,2,23.000000000000,23.000000000000
185,AW00011184,Meghan Hernandez,70,"50 and above",New,"2013-10-09",143,2,68,5,5,2,34.000000000000,34.000000000000
186,AW00011185,Ashley Henderson,75,"50 and above",New,"2014-01-26",140,27,1616,68,29,11,59.851851851851,146.909090909090
187,AW00011186,Sarah Price,76,"50 and above",New,"2014-01-07",140,2,41,3,3,3,20.500000000000,13.666666666666
188,AW00011187,Jennifer Cooper,76,"50 and above",New,"2013-08-06",145,2,108,4,4,4,54.000000000000,27.000000000000
189,AW00011188,Catherine Morris,75,"50 and above",New,"2014-01-21",140,2,81,5,5,2,40.500000000000,40.500000000000
190,AW00011189,Lawrence Blanco,75,"50 and above",VIP,"2013-02-05",151,2,5944,6,6,18,2972.000000000000,330.222222222222
191,AW00011190,Carson Bryant,76,"50 and above",New,"2014-01-16",140,2,46,4,4,5,23.000000000000,9.200000000000
192,AW00011191,Kristi Perez,74,"50 and above",VIP,"2013-11-06",142,3,6743,7,7,27,2247.666666666666,249.740740740740
193,AW00011192,James Brown,74,"50 and above",New,"2013-09-25",144,2,114,5,5,3,57.000000000000,38.000000000000
194,AW00011193,Ian Gray,75,"50 and above",New,"2013-08-18",145,2,41,3,3,6,20.500000000000,6.833333333333
195,AW00011194,Jacqueline Price,75,"50 and above",New,"2013-12-08",141,2,105,6,6,9,52.500000000000,11.666666666666
196,AW00011195,Megan Henderson,74,"50 and above",New,"2013-10-22",143,2,105,6,6,6,52.500000000000,17.500000000000
197,AW00011196,Alfredo Romero,74,"50 and above",New,"2013-09-24",144,2,162,4,4,6,81.000000000000,27.000000000000
198,AW00011197,Andrea Morris,74,"50 and above",New,"2013-07-20",146,2,207,6,5,2,103.500000000000,103.500000000000
199,AW00011198,Brooke Sanders,73,"50 and above",New,"2013-02-13",151,2,98,4,4,0,49.000000000000,98.000000000000
200,AW00011199,Jacqueline Bennett,68,"50 and above",New,"2013-10-17",143,2,132,6,6,7,66.000000000000,18.857142857142
201,AW00011200,Jason Griffin,72,"50 and above",New,"2014-01-20",140,27,1461,55,26,11,54.111111111111,132.818181818181
202,AW00011201,Amanda Foster,72,"50 and above",New,"2013-09-09",144,2,181,6,6,2,90.500000000000,90.500000000000
203,AW00011202,Alexia Price,67,"50 and above",New,"2013-09-21",144,2,74,3,3,0,37.000000000000,74.000000000000
204,AW00011203,Luis Diaz,66,"50 and above",New,"2013-12-11",141,17,800,32,19,10,47.058823529411,80.000000000000
205,AW00011204,Destiny Rivera,72,"50 and above",New,"2013-11-10",142,2,77,4,4,3,38.500000000000,25.666666666666
206,AW00011205,Abby Fernandez,71,"50 and above",New,"2013-10-08",143,2,37,2,2,3,18.500000000000,12.333333333333
207,AW00011206,Blake Flores,71,"50 and above",New,"2013-05-30",148,2,77,4,4,0,38.500000000000,77.000000000000
208,AW00011207,Danielle Cox,71,"50 and above",New,"2013-10-18",143,2,77,4,4,9,38.500000000000,8.555555555555
209,AW00011208,Maria Reed,72,"50 and above",New,"2013-09-17",144,2,134,7,7,6,67.000000000000,22.333333333333
210,AW00011209,Allison Evans,72,"50 and above",New,"2014-01-22",140,2,37,2,2,10,18.500000000000,3.700000000000
211,AW00011210,Edward Wood,72,"50 and above",New,"2013-09-06",144,2,70,5,5,4,35.000000000000,17.500000000000
212,AW00011211,Samantha Russell,65,"50 and above",New,"2014-01-07",140,17,792,33,22,11,46.588235294117,72.000000000000
213,AW00011212,Chloe Campbell,70,"50 and above",Regular,"2014-01-17",140,17,824,33,20,12,48.470588235294,68.666666666666
214,AW00011213,Stephanie Murphy,71,"50 and above",New,"2013-09-09",144,2,77,4,4,6,38.500000000000,12.833333333333
215,AW00011214,Charles Miller,70,"50 and above",New,"2013-11-19",142,2,162,4,4,3,81.000000000000,54.000000000000
216,AW00011215,Ana Perry,64,"50 and above",New,"2013-12-15",141,17,1154,32,21,10,67.882352941176,115.400000000000
217,AW00011216,Jasmine Torres,70,"50 and above",VIP,"2013-02-05",151,2,5948,5,5,18,2974.000000000000,330.444444444444
218,AW00011217,Natalie Adams,70,"50 and above",VIP,"2013-02-14",151,2,5953,3,3,18,2976.500000000000,330.722222222222
219,AW00011218,Olivia Brown,64,"50 and above",New,"2014-01-04",140,2,39,3,2,11,19.500000000000,3.545454545454
220,AW00011219,Charles Cook,69,"50 and above",New,"2014-01-24",140,2,39,3,2,3,19.500000000000,13.000000000000
221,AW00011220,Erica Huang,64,"50 and above",New,"2013-12-13",141,2,50,4,4,9,25.000000000000,5.555555555555
222,AW00011221,Nathan Perry,70,"50 and above",New,"2013-10-17",143,2,46,4,4,6,23.000000000000,7.666666666666
223,AW00011222,Alexandra Rivera,69,"50 and above",New,"2013-11-28",142,2,208,6,6,0,104.000000000000,208.000000000000
